ID,Result,Score,Moves,Completed
269,Lost,387,113,0
270,Won,847,461,8
271,Won,1081,227,8
272,Won,1065,243,8
273,Lost,488,113,1
274,Lost,658,145,3
275,Lost,429,71,0
276,Won,1097,211,8
277,Lost,518,83,1
278,Lost,496,105,1
279,Lost,737,167,4
280,Lost,510,91,1
281,Lost,490,111,1
282,Lost,567,135,2
283,Lost,575,127,2
284,Lost,502,99,1
285,Lost,620,183,3
286,Lost,553,149,2
287,Lost,581,121,2
288,Won,597,711,8
289,Won,-1005,2313,8
290,Won,1089,219,8
291,Lost,579,123,2
292,Won,849,459,8
293,Won,1061,247,8
294,Won,35,1273,8
295,Lost,661,243,4
296,Won,753,555,8
297,Lost,486,115,1
298,Won,565,743,8
299,Lost,759,145,4
300,Lost,549,153,2
301,Lost,561,141,2
302,Lost,-1149,2255,6
303,Lost,767,137,4
304,Won,-119,1427,8
305,Won,-375,1683,8
306,Lost,581,121,2
307,Won,353,955,8
308,Lost,547,155,2
309,Won,-87,1395,8
310,Lost,735,169,4
311,Lost,401,99,0
312,Lost,407,93,0
313,Won,769,539,8
314,Won,-113,1421,8
315,Lost,456,145,1
316,Lost,514,87,1
317,Won,1089,219,8
318,Won,907,401,8
319,Won,919,389,8
320,Won,-63,1371,8
321,Won,1085,223,8
322,Won,1075,233,8
323,Won,851,457,8
324,Lost,786,219,5
325,Lost,490,111,1
326,Won,169,1139,8
327,Lost,508,93,1
328,Won,475,833,8
329,Won,-313,1621,8
330,Won,367,941,8
331,Lost,405,95,0
332,Won,419,889,8
333,Lost,543,159,2
334,Lost,405,95,0
335,Lost,403,97,0
336,Lost,538,265,3
337,Lost,349,151,0
338,Won,1031,277,8
339,Lost,642,161,3
340,Lost,502,99,1
341,Won,1035,273,8
342,Lost,510,91,1
343,Lost,577,125,2
344,Won,307,1001,8
345,Lost,619,285,4
346,Lost,474,127,1
347,Lost,555,147,2
348,Lost,395,105,0
349,Lost,502,99,1
350,Lost,468,133,1
351,Won,757,551,8
352,Lost,516,85,1
353,Won,843,465,8
354,Won,1057,251,8
355,Won,525,783,8
356,Lost,492,109,1
357,Lost,474,127,1
358,Lost,383,117,0
359,Won,1069,239,8
360,Won,401,907,8
361,Lost,405,95,0
362,Lost,733,171,4
363,Won,615,693,8
364,Lost,373,127,0
365,Won,753,555,8
366,Won,191,1117,8
367,Lost,462,139,1
368,Lost,482,119,1
369,Won,747,561,8
370,Won,1047,261,8
371,Won,147,1161,8
372,Lost,523,179,2
373,Won,-273,1581,8
374,Lost,626,177,3
375,Lost,458,143,1
376,Lost,656,147,3
377,Lost,522,79,1
378,Won,43,1265,8
379,Lost,591,111,2
380,Lost,486,115,1
381,Won,997,311,8
382,Lost,597,105,2
383,Lost,520,283,3
384,Won,255,1053,8
385,Lost,492,109,1
386,Won,665,643,8
387,Won,-169,1477,8
388,Lost,480,121,1
389,Lost,555,147,2
390,Won,1063,245,8
391,Won,1015,293,8
392,Lost,498,103,1
393,Won,1025,283,8
394,Won,269,1039,8
395,Lost,591,111,2
396,Lost,630,173,3
397,Won,613,695,8
398,Won,809,499,8
399,Lost,403,97,0
400,Won,701,607,8
401,Lost,755,149,4
402,Won,479,829,8
403,Lost,546,257,3
404,Lost,470,131,1
405,Won,429,879,8
406,Lost,563,139,2
407,Lost,692,111,3
408,Lost,496,105,1
409,Won,-239,1547,8
410,Lost,603,99,2
411,Won,559,749,8
412,Won,995,313,8
413,Lost,478,123,1
414,Won,669,639,8
415,Won,305,1003,8
416,Lost,557,145,2
417,Lost,529,173,2
418,Won,967,341,8
419,Lost,593,109,2
420,Lost,581,121,2
421,Lost,658,145,3
422,Won,1087,221,8
423,Won,33,1275,8
424,Lost,577,125,2
425,Won,723,585,8
426,Lost,621,81,2
427,Lost,607,95,2
428,Lost,413,87,0
429,Lost,583,119,2
430,Lost,480,121,1
431,Lost,581,121,2
432,Won,783,525,8
433,Lost,564,643,7
434,Won,1049,259,8
435,Lost,492,109,1
436,Lost,664,139,3
437,Won,1061,247,8
438,Lost,397,103,0
439,Won,1031,277,8
440,Lost,717,187,4
441,Lost,547,155,2
442,Won,1057,251,8
443,Won,-77,1385,8
444,Won,1065,243,8
445,Lost,684,119,3
446,Lost,644,159,3
447,Lost,400,201,1
448,Won,709,599,8
449,Lost,446,155,1
450,Won,187,1121,8
451,Won,431,877,8
452,Lost,0,1207,7
453,Lost,396,205,1
454,Lost,572,231,3
455,Lost,480,121,1
456,Won,377,931,8
457,Won,1069,239,8
458,Lost,488,113,1
459,Won,1083,225,8
460,Won,259,1049,8
461,Won,-331,1639,8
462,Won,111,1197,8
463,Lost,658,145,3
464,Won,911,397,8
465,Won,77,1231,8
466,Lost,401,99,0
467,Lost,520,81,1
468,Lost,480,121,1
469,Lost,680,123,3
470,Lost,486,115,1
471,Lost,411,89,0
472,Lost,761,143,4
473,Won,973,335,8
474,Won,711,597,8
475,Lost,484,117,1
476,Won,1055,253,8
477,Lost,844,161,5
478,Lost,508,93,1
479,Won,259,1049,8
480,Won,1013,295,8
481,Won,-13,1321,8
482,Lost,478,123,1
483,Won,521,787,8
484,Lost,519,183,2
485,Lost,464,137,1
486,Lost,638,165,3
487,Won,181,1127,8
488,Won,285,1023,8
489,Lost,517,185,2
490,Lost,571,131,2
491,Won,1063,245,8
492,Lost,650,153,3
493,Lost,654,149,3
494,Lost,498,103,1
495,Lost,569,133,2
496,Won,735,573,8
497,Won,1075,233,8
498,Won,689,619,8
499,Won,-597,1905,8
500,Lost,403,97,0
501,Lost,551,151,2
502,Lost,733,171,4
503,Lost,557,145,2
504,Won,143,1165,8
505,Lost,486,115,1
506,Won,501,807,8
507,Lost,612,595,7
508,Won,949,359,8
509,Won,857,451,8
510,Won,1099,209,8
511,Won,1055,253,8
512,Won,1069,239,8
513,Won,943,365,8
514,Won,531,777,8
515,Won,841,467,8
516,Won,877,431,8
517,Won,1029,279,8
518,Lost,737,167,4
519,Won,1081,227,8
520,Won,1047,261,8
521,Won,429,879,8
522,Lost,510,91,1
523,Lost,500,101,1
524,Lost,512,89,1
525,Won,445,863,8
526,Lost,573,129,2
527,Won,247,1061,8
528,Won,221,1087,8
529,Lost,605,97,2
530,Won,913,395,8
531,Lost,680,123,3
532,Lost,-94,897,3
533,Lost,350,857,7
534,Won,1069,239,8
535,Won,887,421,8
536,Lost,474,127,1
537,Won,163,1145,8
538,Won,1089,219,8
539,Lost,391,109,0
540,Lost,-633,1739,6
541,Lost,737,167,4
542,Won,575,733,8
543,Lost,543,159,2
544,Won,145,1163,8
545,Won,857,451,8
546,Won,-27,1335,8
547,Won,-91,1399,8
548,Lost,745,159,4
549,Won,-13,1321,8
550,Won,663,645,8
551,Won,1059,249,8
552,Won,501,807,8
553,Won,717,591,8
554,Lost,397,103,0
555,Won,83,1225,8
556,Won,587,721,8
557,Won,719,589,8
558,Won,79,1229,8
559,Lost,711,193,4
560,Lost,397,103,0
561,Won,405,903,8
562,Won,981,327,8
563,Won,987,321,8
564,Won,-45,1353,8
565,Lost,405,95,0
566,Won,1081,227,8
567,Lost,561,141,2
568,Lost,583,119,2
569,Won,851,457,8
570,Won,997,311,8
571,Won,57,1251,8
572,Won,1087,221,8
573,Won,1083,225,8
574,Won,829,479,8
575,Won,1039,269,8
576,Won,715,593,8
577,Lost,688,115,3
578,Won,1079,229,8
579,Won,1025,283,8
580,Lost,377,123,0
581,Lost,515,187,2
582,Won,879,429,8
583,Lost,634,169,3
584,Won,1093,215,8
585,Won,437,871,8
586,Won,1075,233,8
587,Won,519,789,8
588,Lost,685,219,4
589,Won,311,997,8
590,Won,291,1017,8
591,Lost,484,117,1
592,Lost,593,109,2
593,Won,601,707,8
594,Lost,638,165,3
595,Won,-1051,2359,8
596,Won,1015,293,8
597,Lost,727,177,4
598,Won,661,647,8
599,Won,133,1175,8
600,Won,1045,263,8
601,Lost,660,143,3
602,Won,619,689,8
603,Lost,711,193,4
604,Lost,496,105,1
605,Won,183,1125,8
606,Won,-2285,3593,8
607,Won,1077,231,8
608,Lost,591,111,2
609,Won,-41,1349,8
610,Lost,577,125,2
611,Lost,-76,1283,7
612,Lost,628,175,3
613,Won,451,857,8
614,Lost,474,127,1
615,Lost,547,155,2
616,Lost,660,143,3
617,Won,761,547,8
618,Lost,506,95,1
619,Won,831,477,8
620,Lost,707,197,4
621,Lost,686,117,3
622,Lost,492,109,1
623,Lost,411,89,0
624,Lost,864,343,7
625,Won,951,357,8
626,Lost,375,125,0
627,Lost,571,131,2
628,Lost,498,103,1
629,Lost,389,111,0
630,Lost,409,91,0
631,Lost,684,119,3
632,Lost,904,303,7
633,Won,605,703,8
634,Lost,620,183,3
635,Won,1063,245,8
636,Won,1071,237,8
637,Lost,630,173,3
638,Lost,496,105,1
639,Won,1081,227,8
640,Won,403,905,8
641,Won,1067,241,8
642,Lost,490,111,1
643,Lost,834,171,5
644,Lost,-30,1237,7
645,Lost,569,133,2
646,Lost,745,159,4
647,Won,995,313,8
648,Lost,439,61,0
649,Lost,577,125,2
650,Lost,468,133,1
651,Won,969,339,8
652,Lost,482,119,1
653,Won,345,963,8
654,Won,383,925,8
655,Lost,482,119,1
656,Lost,715,189,4
657,Lost,472,129,1
658,Lost,636,167,3
659,Lost,-274,1481,7
660,Lost,553,149,2
661,Lost,674,129,3
662,Lost,411,89,0
663,Won,829,479,8
664,Lost,397,103,0
665,Won,1071,237,8
666,Won,1025,283,8
667,Won,277,1031,8
668,Lost,383,117,0
669,Lost,474,127,1
670,Lost,413,87,0
671,Lost,573,129,2
672,Lost,587,115,2
673,Lost,599,103,2
674,Lost,494,107,1
675,Lost,484,117,1
676,Won,1009,299,8
677,Won,1073,235,8
678,Lost,699,205,4
679,Won,827,481,8
680,Lost,411,89,0
681,Lost,649,255,4
682,Won,269,1039,8
683,Lost,427,73,0
684,Lost,498,103,1
685,Lost,192,1015,7
686,Lost,474,127,1
687,Won,925,383,8
688,Lost,518,83,1
689,Lost,420,181,1
690,Won,607,701,8
691,Lost,553,149,2
692,Lost,567,135,2
693,Won,721,587,8
694,Lost,555,349,4
695,Lost,660,143,3
696,Lost,498,103,1
697,Lost,504,97,1
698,Lost,745,159,4
699,Won,1053,255,8
700,Lost,397,103,0
701,Won,-73,1381,8
702,Lost,-356,1563,7
703,Won,737,571,8
704,Won,5,1303,8
705,Lost,624,179,3
706,Lost,601,101,2
707,Lost,389,111,0
708,Won,225,1083,8
709,Won,1081,227,8
710,Lost,415,85,0
711,Won,1071,237,8
712,Lost,533,169,2
713,Won,653,655,8
714,Won,287,1021,8
715,Lost,425,75,0
716,Won,657,651,8
717,Lost,553,149,2
718,Won,439,869,8
719,Won,1021,287,8
720,Won,557,751,8
721,Won,681,627,8
722,Lost,687,217,4
723,Lost,563,139,2
724,Lost,652,151,3
725,Lost,589,113,2
726,Won,1091,217,8
727,Lost,662,141,3
728,Lost,405,95,0
729,Lost,470,131,1
730,Won,1091,217,8
731,Lost,413,87,0
732,Lost,490,111,1
733,Lost,641,263,4
734,Won,411,897,8
735,Won,1089,219,8
736,Won,425,883,8
737,Lost,407,93,0
738,Won,1067,241,8
739,Lost,555,147,2
740,Lost,500,101,1
741,Lost,413,87,0
742,Won,681,627,8
743,Lost,622,181,3
744,Won,573,735,8
745,Won,539,769,8
746,Lost,498,103,1
747,Lost,472,129,1
748,Won,1085,223,8
749,Lost,589,113,2
750,Won,505,803,8
751,Lost,381,119,0
752,Lost,581,121,2
753,Won,631,677,8
754,Lost,610,193,3
755,Won,1079,229,8
756,Lost,419,81,0
757,Won,475,833,8
758,Won,1031,277,8
759,Lost,470,131,1
760,Won,281,1027,8
761,Won,1063,245,8
762,Lost,387,113,0
763,Lost,790,215,5
764,Lost,587,115,2
765,Won,965,343,8
766,Won,721,587,8
767,Won,-41,1349,8
768,Lost,638,165,3
769,Won,-201,1509,8
770,Lost,397,103,0
771,Won,1063,245,8
772,Lost,682,121,3
773,Won,1085,223,8
774,Lost,559,143,2
775,Won,391,917,8
776,Lost,585,117,2
777,Lost,470,131,1
778,Won,259,1049,8
779,Won,179,1129,8
780,Lost,555,147,2
781,Won,1045,263,8
782,Won,1067,241,8
783,Won,1047,261,8
784,Lost,478,123,1
