ID,Result,Score,Moves,Completed
2349,Lost,668,135,3
2350,Won,1005,303,8
2351,Won,715,593,8
2352,Won,1087,221,8
2353,Won,-29,1337,8
2354,Won,933,375,8
2355,Won,1029,279,8
2356,Won,1081,227,8
2357,Won,153,1155,8
2358,Won,431,877,8
2359,Lost,423,77,0
2360,Lost,588,215,3
2361,Won,553,755,8
2362,Lost,498,103,1
2363,Won,1027,281,8
2364,Lost,561,141,2
2365,Lost,-1,1107,6
2366,Won,311,997,8
2367,Won,1067,241,8
2368,Won,1075,233,8
2369,Lost,569,133,2
2370,Lost,516,287,3
2371,Lost,315,791,6
2372,Won,375,933,8
2373,Lost,407,93,0
2374,Won,883,425,8
2375,Lost,537,165,2
2376,Lost,483,219,2
2377,Lost,518,83,1
2378,Won,867,441,8
2379,Lost,512,89,1
2380,Won,1045,263,8
2381,Won,1079,229,8
2382,Lost,44,1163,7
2383,Won,969,339,8
2384,Won,1017,291,8
2385,Won,1059,249,8
2386,Lost,502,99,1
2387,Lost,717,187,4
2388,Won,1033,275,8
2389,Lost,610,597,7
2390,Won,975,333,8
2391,Lost,559,345,4
2392,Lost,652,151,3
2393,Won,1009,299,8
2394,Won,1057,251,8
2395,Lost,650,153,3
2396,Won,453,855,8
2397,Lost,701,203,4
2398,Won,-691,1999,8
2399,Won,411,897,8
2400,Won,849,459,8
2401,Lost,340,463,3
2402,Won,937,371,8
2403,Won,617,691,8
2404,Won,197,1111,8
2405,Won,51,1257,8
2406,Won,687,621,8
2407,Won,1045,263,8
2408,Lost,490,111,1
2409,Lost,587,115,2
2410,Lost,387,113,0
2411,Won,1097,211,8
2412,Won,1069,239,8
2413,Lost,476,125,1
2414,Won,881,427,8
2415,Won,963,345,8
2416,Lost,533,169,2
2417,Won,449,859,8
2418,Won,-45,1353,8
2419,Lost,632,171,3
2420,Lost,577,125,2
2421,Won,653,655,8
2422,Won,593,715,8
2423,Won,1075,233,8
2424,Lost,595,107,2
2425,Lost,567,135,2
2426,Won,-521,1829,8
2427,Lost,490,111,1
2428,Won,989,319,8
2429,Won,1101,207,8
2430,Lost,488,113,1
2431,Won,1073,235,8
2432,Lost,533,169,2
2433,Lost,357,143,0
2434,Lost,415,85,0
2435,Lost,363,137,0
2436,Lost,521,181,2
2437,Lost,607,95,2
2438,Won,895,413,8
2439,Won,995,313,8
2440,Won,1073,235,8
2441,Won,613,695,8
2442,Lost,391,109,0
2443,Lost,504,97,1
2444,Lost,567,135,2
2445,Lost,539,163,2
2446,Lost,41,1065,6
2447,Lost,469,233,2
2448,Won,1041,267,8
2449,Won,1061,247,8
2450,Won,341,967,8
2451,Won,581,727,8
2452,Won,459,849,8
2453,Lost,474,127,1
2454,Won,1005,303,8
2455,Won,1049,259,8
2456,Lost,345,155,0
2457,Lost,713,191,4
2458,Lost,563,139,2
2459,Won,1041,267,8
2460,Lost,589,113,2
2461,Won,1007,301,8
2462,Lost,525,177,2
2463,Won,1085,223,8
2464,Lost,656,147,3
2465,Won,1045,263,8
2466,Won,1005,303,8
2467,Lost,421,79,0
2468,Won,621,687,8
2469,Won,543,765,8
2470,Lost,524,77,1
2471,Won,59,1249,8
2472,Won,543,765,8
2473,Lost,729,175,4
2474,Lost,478,123,1
2475,Won,1081,227,8
2476,Lost,480,121,1
2477,Won,817,491,8
2478,Won,535,773,8
2479,Won,593,715,8
2480,Won,1085,223,8
2481,Won,641,667,8
2482,Won,1077,231,8
2483,Won,1081,227,8
2484,Won,867,441,8
2485,Won,57,1251,8
2486,Lost,476,125,1
2487,Won,1075,233,8
2488,Won,1005,303,8
2489,Won,1087,221,8
2490,Lost,431,271,2
2491,Lost,488,113,1
2492,Lost,482,119,1
2493,Won,887,421,8
2494,Won,393,915,8
2495,Lost,750,255,5
2496,Lost,498,103,1
2497,Won,813,495,8
2498,Lost,474,127,1
2499,Won,1051,257,8
2500,Won,1039,269,8
2501,Lost,757,147,4
2502,Lost,415,85,0
2503,Lost,393,107,0
2504,Won,-1279,2587,8
2505,Won,745,563,8
2506,Lost,466,135,1
2507,Won,813,495,8
2508,Won,1009,299,8
2509,Lost,593,109,2
2510,Won,93,1215,8
2511,Won,37,1271,8
2512,Won,437,871,8
2513,Lost,660,143,3
2514,Lost,397,103,0
2515,Lost,498,103,1
2516,Lost,419,81,0
2517,Won,963,345,8
2518,Lost,565,137,2
2519,Lost,591,111,2
2520,Won,345,963,8
2521,Lost,785,119,4
2522,Lost,688,115,3
2523,Won,921,387,8
2524,Lost,541,161,2
2525,Won,453,855,8
2526,Lost,419,81,0
2527,Lost,725,179,4
2528,Won,713,595,8
2529,Won,747,561,8
2530,Lost,472,129,1
2531,Won,1031,277,8
2532,Won,1069,239,8
2533,Won,-679,1987,8
2534,Won,671,637,8
2535,Lost,416,185,1
2536,Won,91,1217,8
2537,Lost,549,355,4
2538,Won,1037,271,8
2539,Lost,666,137,3
2540,Lost,607,95,2
2541,Won,1029,279,8
2542,Lost,432,169,1
2543,Lost,551,151,2
2544,Lost,459,243,2
2545,Lost,565,137,2
2546,Lost,583,119,2
2547,Lost,399,101,0
2548,Lost,492,109,1
2549,Won,-433,1741,8
2550,Lost,480,121,1
2551,Won,487,821,8
2552,Won,1039,269,8
2553,Lost,482,119,1
2554,Won,839,469,8
2555,Won,1053,255,8
2556,Lost,-310,1517,7
2557,Lost,482,119,1
2558,Lost,709,195,4
2559,Lost,421,79,0
2560,Won,1077,231,8
2561,Won,137,1171,8
2562,Lost,377,123,0
2563,Lost,415,85,0
2564,Won,259,1049,8
2565,Won,795,513,8
2566,Lost,630,173,3
2567,Lost,422,179,1
2568,Lost,407,93,0
2569,Won,1015,293,8
2570,Won,1071,237,8
2571,Won,1073,235,8
2572,Won,1073,235,8
2573,Won,-225,1533,8
2574,Lost,500,101,1
2575,Lost,624,179,3
2576,Lost,577,125,2
2577,Lost,581,121,2
2578,Lost,658,145,3
2579,Won,641,667,8
2580,Lost,396,205,1
2581,Won,751,557,8
2582,Won,83,1225,8
2583,Won,463,845,8
2584,Lost,579,123,2
2585,Won,-789,2097,8
2586,Won,797,511,8
2587,Won,1033,275,8
2588,Lost,577,125,2
2589,Lost,484,117,1
2590,Won,631,677,8
2591,Lost,429,273,2
2592,Lost,486,115,1
2593,Won,-41,1349,8
2594,Won,735,573,8
2595,Lost,407,93,0
2596,Lost,502,99,1
2597,Lost,581,121,2
2598,Lost,551,151,2
2599,Lost,622,181,3
2600,Lost,486,115,1
2601,Won,1035,273,8
2602,Won,77,1231,8
2603,Lost,421,79,0
2604,Won,781,527,8
2605,Won,-629,1937,8
2606,Won,1057,251,8
2607,Lost,622,181,3
2608,Won,1085,223,8
2609,Lost,559,143,2
2610,Lost,393,107,0
2611,Won,455,853,8
2612,Won,883,425,8
2613,Lost,472,129,1
2614,Lost,409,91,0
2615,Won,269,1039,8
2616,Lost,462,139,1
2617,Won,619,689,8
2618,Won,1061,247,8
2619,Lost,444,157,1
2620,Won,1067,241,8
2621,Won,457,851,8
2622,Won,313,995,8
2623,Won,993,315,8
2624,Lost,569,133,2
2625,Won,601,707,8
2626,Lost,518,83,1
2627,Won,711,597,8
2628,Won,793,515,8
2629,Won,921,387,8
2630,Lost,660,143,3
2631,Won,247,1061,8
2632,Won,633,675,8
2633,Lost,622,181,3
2634,Won,423,885,8
2635,Won,461,847,8
2636,Won,427,881,8
2637,Won,947,361,8
2638,Lost,539,365,4
2639,Lost,488,113,1
2640,Lost,482,119,1
2641,Lost,747,157,4
2642,Lost,566,237,3
2643,Won,307,1001,8
2644,Won,1077,231,8
2645,Lost,393,107,0
2646,Lost,569,133,2
2647,Lost,646,157,3
2648,Won,1067,241,8
2649,Won,1043,265,8
2650,Lost,490,111,1
2651,Lost,431,69,0
2652,Lost,413,87,0
2653,Lost,488,113,1
2654,Won,481,827,8
2655,Won,407,901,8
2656,Lost,444,157,1
2657,Lost,-461,1567,6
2658,Lost,650,153,3
2659,Lost,642,161,3
2660,Lost,504,97,1
2661,Lost,478,123,1
2662,Won,761,547,8
2663,Lost,498,103,1
2664,Lost,488,113,1
2665,Won,739,569,8
2666,Lost,593,109,2
2667,Lost,668,135,3
2668,Lost,642,161,3
2669,Lost,480,121,1
2670,Won,1043,265,8
2671,Won,1061,247,8
2672,Won,653,655,8
2673,Lost,446,155,1
2674,Won,773,535,8
2675,Won,-43,1351,8
2676,Lost,480,121,1
2677,Won,825,483,8
2678,Won,1031,277,8
2679,Won,-969,2277,8
2680,Won,-33,1341,8
2681,Lost,607,297,4
2682,Won,1023,285,8
2683,Won,459,849,8
2684,Won,1093,215,8
2685,Lost,433,67,0
2686,Won,911,397,8
2687,Won,967,341,8
2688,Lost,353,147,0
2689,Lost,569,133,2
2690,Lost,575,127,2
2691,Lost,411,89,0
2692,Lost,490,111,1
2693,Lost,551,151,2
2694,Lost,715,189,4
2695,Lost,980,227,7
2696,Lost,581,121,2
2697,Lost,559,143,2
2698,Lost,575,127,2
2699,Lost,419,81,0
2700,Lost,577,125,2
2701,Won,273,1035,8
2702,Won,-47,1355,8
2703,Lost,602,201,3
2704,Won,295,1013,8
2705,Lost,577,125,2
2706,Won,473,835,8
2707,Lost,504,97,1
2708,Won,1077,231,8
2709,Lost,421,79,0
2710,Lost,502,99,1
2711,Won,-125,1433,8
2712,Won,659,649,8
2713,Lost,579,123,2
2714,Won,663,645,8
2715,Lost,482,119,1
2716,Lost,472,129,1
2717,Won,719,589,8
2718,Won,-211,1519,8
2719,Won,-189,1497,8
2720,Lost,478,123,1
2721,Lost,611,91,2
2722,Won,1069,239,8
2723,Won,789,519,8
2724,Lost,405,95,0
2725,Lost,559,143,2
2726,Lost,668,135,3
2727,Won,1049,259,8
2728,Won,1095,213,8
2729,Lost,650,153,3
2730,Lost,397,103,0
2731,Lost,673,231,4
2732,Lost,429,71,0
2733,Lost,502,99,1
2734,Lost,539,163,2
2735,Lost,500,101,1
2736,Lost,474,127,1
2737,Won,-23,1331,8
2738,Lost,603,99,2
2739,Won,813,495,8
2740,Lost,688,115,3
2741,Won,355,953,8
2742,Lost,662,141,3
2743,Won,781,527,8
2744,Won,843,465,8
2745,Lost,511,191,2
2746,Won,399,909,8
2747,Won,-731,2039,8
2748,Lost,773,131,4
2749,Lost,523,179,2
2750,Lost,575,127,2
2751,Lost,502,99,1
2752,Won,1093,215,8
2753,Won,1055,253,8
2754,Won,1031,277,8
2755,Lost,498,103,1
2756,Lost,535,167,2
2757,Won,531,777,8
2758,Lost,399,101,0
2759,Won,1049,259,8
2760,Lost,703,201,4
2761,Lost,399,101,0
2762,Won,1073,235,8
2763,Lost,585,117,2
2764,Lost,468,133,1
2765,Lost,581,121,2
2766,Won,1083,225,8
2767,Lost,444,157,1
2768,Lost,415,85,0
2769,Won,759,549,8
2770,Lost,62,1145,7
2771,Won,601,707,8
2772,Lost,642,161,3
2773,Won,615,693,8
2774,Won,347,961,8
2775,Won,981,327,8
2776,Won,1043,265,8
2777,Won,1039,269,8
2778,Won,-155,1463,8
2779,Lost,671,233,4
2780,Lost,493,209,2
2781,Lost,554,249,3
2782,Won,731,577,8
2783,Won,1091,217,8
2784,Lost,385,115,0
2785,Won,353,955,8
2786,Won,925,383,8
2787,Lost,476,125,1
2788,Lost,650,153,3
2789,Won,487,821,8
2790,Won,-211,1519,8
2791,Won,1011,297,8
2792,Lost,583,119,2
2793,Won,-533,1841,8
2794,Won,933,375,8
2795,Lost,914,293,7
2796,Won,1061,247,8
2797,Lost,680,123,3
2798,Lost,591,111,2
2799,Lost,474,127,1
2800,Lost,512,89,1
2801,Won,985,323,8
2802,Lost,496,105,1
2803,Won,409,899,8
2804,Lost,468,133,1
2805,Lost,575,127,2
2806,Won,1095,213,8
2807,Won,879,429,8
2808,Lost,409,91,0
2809,Won,1047,261,8
2810,Won,1063,245,8
2811,Lost,409,91,0
2812,Won,1017,291,8
2813,Lost,502,99,1
2814,Lost,606,197,3
2815,Lost,506,95,1
2816,Lost,498,103,1
2817,Lost,737,167,4
2818,Lost,559,143,2
2819,Lost,591,111,2
2820,Won,73,1235,8
2821,Won,1083,225,8
2822,Won,287,1021,8
2823,Won,-279,1587,8
2824,Lost,409,91,0
2825,Won,75,1233,8
2826,Lost,224,983,7
2827,Lost,680,123,3
2828,Won,999,309,8
2829,Lost,567,135,2
2830,Lost,494,107,1
2831,Lost,676,127,3
2832,Won,609,699,8
2833,Won,473,835,8
2834,Lost,419,81,0
2835,Lost,472,129,1
2836,Lost,565,137,2
2837,Lost,620,183,3
2838,Won,1047,261,8
2839,Lost,974,233,7
2840,Won,531,777,8
2841,Lost,435,65,0
2842,Won,363,945,8
2843,Won,-409,1717,8
2844,Lost,565,137,2
2845,Won,1063,245,8
2846,Lost,601,101,2
2847,Won,1079,229,8
2848,Won,1065,243,8
2849,Lost,489,213,2
2850,Won,705,603,8
2851,Won,1039,269,8
2852,Lost,576,631,7
2853,Won,1059,249,8
2854,Lost,492,109,1
2855,Lost,673,231,4
2856,Lost,484,117,1
2857,Lost,512,89,1
2858,Lost,551,151,2
2859,Won,1049,259,8
2860,Lost,367,133,0
2861,Won,187,1121,8
2862,Lost,468,133,1
2863,Lost,458,143,1
2864,Won,1033,275,8
2865,Lost,577,125,2
2866,Lost,415,85,0
2867,Lost,723,181,4
2868,Won,1055,253,8
2869,Lost,559,143,2
2870,Lost,561,141,2
2871,Won,1073,235,8
2872,Lost,436,165,1
2873,Won,959,349,8
2874,Lost,579,123,2
2875,Won,1027,281,8
2876,Won,1057,251,8
2877,Lost,558,245,3
2878,Lost,506,95,1
2879,Lost,411,89,0
2880,Lost,415,85,0
2881,Lost,589,113,2
2882,Won,1077,231,8
2883,Won,509,799,8
2884,Won,333,975,8
2885,Lost,512,89,1
2886,Lost,670,133,3
2887,Won,537,771,8
2888,Won,107,1201,8
2889,Won,519,789,8
2890,Lost,488,113,1
2891,Lost,516,85,1
2892,Lost,409,91,0
2893,Won,223,1085,8
2894,Won,1057,251,8
2895,Lost,403,97,0
2896,Lost,569,133,2
2897,Lost,628,175,3
2898,Lost,490,111,1
2899,Lost,494,107,1
2900,Lost,555,147,2
2901,Won,197,1111,8
2902,Won,1043,265,8
2903,Won,-55,1363,8
2904,Won,1043,265,8
2905,Lost,643,261,4
2906,Won,491,817,8
2907,Lost,636,167,3
2908,Lost,573,129,2
2909,Won,983,325,8
2910,Lost,670,133,3
2911,Won,1057,251,8
2912,Won,881,427,8
2913,Won,-99,1407,8
2914,Won,237,1071,8
2915,Lost,413,87,0
2916,Won,687,621,8
2917,Lost,66,1141,7
2918,Lost,618,185,3
2919,Lost,373,127,0
2920,Lost,695,209,4
2921,Won,51,1257,8
2922,Lost,692,111,3
2923,Won,707,601,8
2924,Won,1067,241,8
2925,Lost,769,135,4
2926,Lost,652,151,3
2927,Won,951,357,8
2928,Lost,626,177,3
2929,Lost,751,153,4
2930,Won,289,1019,8
2931,Won,-341,1649,8
2932,Lost,490,111,1
2933,Lost,618,185,3
2934,Lost,612,191,3
2935,Lost,731,173,4
2936,Lost,393,107,0
2937,Lost,397,103,0
2938,Lost,581,121,2
2939,Lost,480,121,1
2940,Lost,575,127,2
2941,Lost,469,233,2
2942,Lost,482,119,1
2943,Lost,664,139,3
2944,Won,1091,217,8
2945,Won,-531,1839,8
2946,Lost,577,125,2
2947,Lost,464,137,1
2948,Won,-131,1439,8
2949,Lost,796,209,5
2950,Lost,731,173,4
2951,Lost,438,163,1
2952,Lost,636,167,3
2953,Lost,395,105,0
2954,Won,-499,1807,8
2955,Lost,583,119,2
2956,Lost,585,117,2
2957,Lost,654,149,3
2958,Lost,575,127,2
2959,Lost,884,323,7
2960,Won,761,547,8
2961,Won,629,679,8
2962,Lost,417,83,0
2963,Lost,419,81,0
2964,Lost,575,127,2
2965,Won,621,687,8
2966,Lost,688,115,3
2967,Won,997,311,8
2968,Lost,561,141,2
2969,Won,525,783,8
2970,Won,229,1079,8
2971,Won,991,317,8
2972,Lost,571,131,2
2973,Won,1071,237,8
2974,Won,135,1173,8
2975,Won,1023,285,8
2976,Won,407,901,8
2977,Won,403,905,8
2978,Won,-193,1501,8
2979,Lost,407,93,0
2980,Won,1071,237,8
2981,Lost,484,117,1
2982,Won,589,719,8
2983,Won,117,1191,8
2984,Won,305,1003,8
2985,Won,813,495,8
2986,Lost,533,169,2
2987,Lost,526,75,1
2988,Won,961,347,8
2989,Won,1049,259,8
2990,Lost,569,133,2
2991,Won,1071,237,8
2992,Won,625,683,8
2993,Won,983,325,8
2994,Lost,577,125,2
2995,Won,379,929,8
2996,Won,627,681,8
2997,Lost,486,115,1
2998,Won,983,325,8
2999,Won,843,465,8
3000,Lost,642,161,3
3001,Lost,492,109,1
3002,Won,555,753,8
3003,Won,495,813,8
3004,Lost,592,211,3
3005,Lost,597,105,2
3006,Won,1073,235,8
3007,Won,449,859,8
3008,Lost,682,121,3
3009,Won,91,1217,8
3010,Won,999,309,8
3011,Won,987,321,8
3012,Lost,652,151,3
3013,Won,-2495,3803,8
3014,Lost,636,167,3
3015,Lost,492,311,3
3016,Lost,541,161,2
3017,Won,491,817,8
3018,Lost,433,67,0
3019,Won,1095,213,8
3020,Won,1073,235,8
3021,Lost,4,1203,7
3022,Lost,508,93,1
3023,Won,223,1085,8
3024,Lost,564,239,3
3025,Lost,759,145,4
3026,Won,723,585,8
3027,Lost,569,133,2
3028,Lost,553,149,2
3029,Lost,638,165,3
3030,Lost,304,903,7
3031,Won,1073,235,8
3032,Won,439,869,8
3033,Lost,397,103,0
3034,Won,681,627,8
3035,Lost,504,97,1
3036,Lost,413,87,0
3037,Lost,397,103,0
3038,Lost,518,83,1
3039,Lost,587,115,2
3040,Lost,464,137,1
3041,Lost,652,151,3
3042,Won,703,605,8
3043,Lost,478,123,1
3044,Won,929,379,8
3045,Lost,486,115,1
3046,Won,-69,1377,8
3047,Lost,375,125,0
3048,Lost,486,115,1
3049,Lost,595,107,2
3050,Lost,405,95,0
3051,Lost,539,163,2
3052,Won,1019,289,8
3053,Lost,559,143,2
3054,Won,547,761,8
3055,Lost,640,163,3
3056,Won,943,365,8
3057,Lost,533,169,2
3058,Won,331,977,8
3059,Lost,512,89,1
3060,Lost,510,91,1
3061,Lost,658,145,3
3062,Won,519,789,8
3063,Lost,480,121,1
3064,Lost,153,953,6
3065,Lost,496,105,1
3066,Won,1097,211,8
3067,Lost,6,1201,7
3068,Lost,413,87,0
3069,Lost,672,131,3
3070,Lost,551,151,2
3071,Lost,579,123,2
3072,Won,237,1071,8
3073,Lost,648,155,3
3074,Won,723,585,8
3075,Won,659,649,8
3076,Won,1015,293,8
3077,Won,491,817,8
3078,Won,827,481,8
3079,Won,749,559,8
3080,Won,831,477,8
3081,Lost,464,137,1
3082,Lost,500,101,1
3083,Won,399,909,8
3084,Lost,407,93,0
3085,Lost,589,113,2
3086,Lost,502,99,1
3087,Lost,407,93,0
3088,Lost,520,81,1
3089,Lost,316,891,7
3090,Lost,407,93,0
3091,Won,-515,1823,8
3092,Won,-81,1389,8
3093,Lost,585,117,2
3094,Lost,405,95,0
3095,Lost,339,161,0
3096,Won,-587,1895,8
3097,Lost,678,125,3
3098,Won,705,603,8
3099,Won,1025,283,8
3100,Won,-181,1489,8
3101,Lost,363,137,0
3102,Lost,646,157,3
3103,Won,489,819,8
3104,Lost,399,101,0
3105,Lost,577,125,2
3106,Lost,31,1075,6
3107,Lost,369,131,0
3108,Won,999,309,8
3109,Lost,563,139,2
3110,Won,985,323,8
3111,Lost,575,127,2
3112,Won,653,655,8
3113,Won,1015,293,8
3114,Lost,450,151,1
3115,Won,163,1145,8
3116,Won,1071,237,8
3117,Won,479,829,8
3118,Lost,411,89,0
3119,Won,1079,229,8
3120,Lost,409,91,0
3121,Won,727,581,8
3122,Lost,409,91,0
3123,Lost,549,153,2
3124,Lost,518,83,1
3125,Won,1037,271,8
3126,Lost,531,171,2
3127,Lost,656,147,3
3128,Won,1049,259,8
3129,Lost,636,167,3
3130,Lost,527,175,2
3131,Won,1037,271,8
3132,Lost,431,69,0
3133,Won,1041,267,8
3134,Lost,405,95,0
3135,Won,-113,1421,8
3136,Won,-329,1637,8
3137,Won,279,1029,8
3138,Won,409,899,8
3139,Won,1085,223,8
3140,Lost,482,119,1
3141,Lost,417,83,0
3142,Lost,470,131,1
3143,Lost,605,97,2
3144,Won,855,453,8
3145,Won,1081,227,8
3146,Lost,494,107,1
3147,Lost,618,185,3
3148,Lost,488,113,1
3149,Won,-403,1711,8
3150,Lost,492,109,1
3151,Won,377,931,8
3152,Lost,784,423,7
3153,Won,599,709,8
3154,Lost,628,175,3
3155,Lost,577,125,2
3156,Won,1065,243,8
3157,Lost,664,139,3
3158,Won,-515,1823,8
3159,Won,1077,231,8
3160,Won,1071,237,8
3161,Won,795,513,8
3162,Won,773,535,8
3163,Won,439,869,8
3164,Won,485,823,8
3165,Lost,521,383,4
3166,Lost,498,103,1
3167,Won,367,941,8
3168,Lost,685,219,4
3169,Won,-239,1547,8
3170,Won,1011,297,8
3171,Won,901,407,8
3172,Won,861,447,8
3173,Lost,729,175,4
3174,Lost,573,129,2
3175,Lost,563,139,2
3176,Won,1087,221,8
3177,Lost,682,121,3
3178,Lost,650,153,3
3179,Lost,502,99,1
3180,Won,-495,1803,8
3181,Won,655,653,8
3182,Won,283,1025,8
3183,Lost,595,107,2
3184,Lost,601,101,2
3185,Lost,506,95,1
3186,Won,683,625,8
3187,Lost,369,131,0
3188,Lost,409,91,0
3189,Won,889,419,8
3190,Lost,656,147,3
3191,Won,837,471,8
3192,Won,747,561,8
3193,Won,1079,229,8
3194,Won,757,551,8
3195,Lost,496,105,1
3196,Lost,654,149,3
3197,Lost,478,123,1
3198,Lost,565,137,2
3199,Lost,359,141,0
3200,Won,191,1117,8
3201,Lost,413,87,0
3202,Won,357,951,8
3203,Won,271,1037,8
3204,Won,715,593,8
3205,Won,1061,247,8
3206,Lost,583,119,2
3207,Won,911,397,8
3208,Lost,494,107,1
3209,Won,-93,1401,8
3210,Lost,425,75,0
3211,Won,1077,231,8
3212,Lost,628,175,3
3213,Won,1045,263,8
3214,Lost,587,115,2
3215,Lost,569,133,2
3216,Lost,589,113,2
3217,Won,1043,265,8
3218,Won,461,847,8
3219,Won,1073,235,8
3220,Won,555,753,8
3221,Won,-151,1459,8
3222,Won,-71,1379,8
3223,Won,997,311,8
3224,Won,-965,2273,8
3225,Lost,403,97,0
3226,Lost,423,77,0
3227,Lost,802,203,5
3228,Won,725,583,8
3229,Won,481,827,8
3230,Won,841,467,8
3231,Lost,393,107,0
3232,Lost,418,183,1
3233,Lost,371,129,0
3234,Won,783,525,8
3235,Won,1083,225,8
3236,Lost,510,91,1
3237,Lost,640,163,3
3238,Lost,367,133,0
3239,Lost,648,155,3
3240,Lost,545,157,2
3241,Won,457,851,8
3242,Won,613,695,8
3243,Lost,470,333,3
3244,Lost,452,149,1
3245,Lost,411,89,0
3246,Won,351,957,8
3247,Lost,575,127,2
3248,Won,257,1051,8
3249,Lost,529,173,2
3250,Lost,646,157,3
3251,Lost,496,105,1
3252,Won,381,927,8
3253,Lost,359,141,0
3254,Lost,507,195,2
3255,Won,1067,241,8
3256,Lost,601,101,2
3257,Lost,476,125,1
3258,Lost,494,107,1
3259,Won,-989,2297,8
3260,Won,1087,221,8
3261,Lost,618,185,3
3262,Lost,719,185,4
3263,Won,967,341,8
3264,Lost,658,145,3
3265,Won,1011,297,8
3266,Lost,401,99,0
3267,Lost,510,91,1
3268,Lost,-1241,2347,6
3269,Won,307,1001,8
3270,Lost,990,217,7
3271,Lost,490,111,1
3272,Won,827,481,8
3273,Lost,652,151,3
3274,Won,1081,227,8
3275,Lost,476,125,1
3276,Won,1069,239,8
3277,Lost,433,67,0
3278,Lost,668,135,3
3279,Won,1061,247,8
3280,Won,1067,241,8
3281,Won,257,1051,8
3282,Lost,403,97,0
3283,Lost,654,149,3
3284,Lost,494,107,1
3285,Won,1067,241,8
3286,Won,837,471,8
3287,Won,945,363,8
3288,Won,771,537,8
3289,Won,761,547,8
3290,Won,1043,265,8
3291,Won,325,983,8
3292,Won,25,1283,8
3293,Won,1089,219,8
3294,Lost,636,167,3
3295,Won,953,355,8
3296,Lost,660,143,3
3297,Lost,-368,1575,7
3298,Won,961,347,8
3299,Won,257,1051,8
3300,Lost,614,189,3
3301,Lost,510,91,1
3302,Lost,470,131,1
3303,Lost,411,89,0
3304,Lost,468,133,1
3305,Lost,595,107,2
3306,Won,509,799,8
3307,Lost,908,299,7
3308,Won,705,603,8
3309,Won,615,693,8
3310,Lost,417,83,0
3311,Lost,434,167,1
3312,Won,157,1151,8
3313,Lost,585,117,2
3314,Won,563,745,8
3315,Won,1015,293,8
3316,Lost,466,135,1
3317,Lost,548,255,3
3318,Won,-283,1591,8
3319,Lost,474,127,1
3320,Lost,367,133,0
3321,Lost,462,139,1
3322,Won,1051,257,8
3323,Won,1055,253,8
3324,Lost,488,113,1
3325,Won,1041,267,8
3326,Won,619,689,8
3327,Lost,383,117,0
3328,Lost,755,149,4
3329,Lost,920,287,7
3330,Won,687,621,8
3331,Lost,464,137,1
3332,Lost,510,91,1
3333,Lost,393,107,0
3334,Lost,512,89,1
3335,Lost,972,235,7
3336,Won,601,707,8
3337,Won,493,815,8
3338,Lost,664,139,3
3339,Won,1063,245,8
3340,Lost,514,87,1
3341,Lost,721,183,4
3342,Lost,488,113,1
3343,Lost,407,93,0
3344,Lost,-198,1405,7
3345,Won,1033,275,8
3346,Lost,526,75,1
3347,Won,661,647,8
3348,Won,1067,241,8
3349,Lost,601,101,2
3350,Won,183,1125,8
3351,Lost,741,163,4
3352,Lost,494,107,1
3353,Won,1073,235,8
3354,Lost,417,83,0
3355,Lost,405,95,0
3356,Lost,860,145,5
3357,Won,977,331,8
3358,Won,185,1123,8
3359,Lost,423,481,4
3360,Lost,484,117,1
3361,Lost,355,347,2
3362,Won,1041,267,8
3363,Won,1061,247,8
3364,Won,1095,213,8
3365,Won,979,329,8
3366,Lost,682,121,3
3367,Lost,480,121,1
3368,Won,-537,1845,8
3369,Lost,405,95,0
3370,Lost,365,135,0
3371,Lost,662,141,3
3372,Lost,556,247,3
3373,Lost,421,79,0
3374,Lost,502,99,1
3375,Lost,595,107,2
3376,Won,481,827,8
3377,Lost,525,177,2
3378,Lost,377,123,0
3379,Won,1067,241,8
3380,Won,1075,233,8
3381,Won,1061,247,8
3382,Lost,519,183,2
3383,Won,589,719,8
3384,Won,215,1093,8
3385,Lost,498,103,1
3386,Won,325,983,8
3387,Won,763,545,8
3388,Won,1077,231,8
3389,Won,1075,233,8
3390,Lost,472,129,1
3391,Won,639,669,8
3392,Lost,656,147,3
3393,Lost,603,99,2
3394,Lost,757,147,4
3395,Won,1049,259,8
3396,Lost,575,127,2
3397,Lost,956,251,7
3398,Won,517,791,8
3399,Lost,482,119,1
3400,Won,1079,229,8
3401,Won,789,519,8
3402,Won,-1181,2489,8
3403,Won,691,617,8
3404,Lost,474,127,1
3405,Won,1057,251,8
3406,Won,1037,271,8
3407,Won,143,1165,8
3408,Won,129,1179,8
3409,Lost,494,107,1
3410,Lost,-1172,2379,7
3411,Won,761,547,8
3412,Won,-349,1657,8
3413,Won,-977,2285,8
3414,Won,865,443,8
3415,Won,-25,1333,8
3416,Lost,405,95,0
3417,Won,387,921,8
3418,Lost,585,117,2
3419,Won,1011,297,8
3420,Won,1073,235,8
3421,Won,611,697,8
3422,Won,877,431,8
3423,Lost,496,105,1
3424,Won,579,729,8
3425,Lost,464,137,1
3426,Won,977,331,8
3427,Lost,757,147,4
3428,Won,729,579,8
3429,Lost,516,85,1
3430,Won,805,503,8
3431,Won,917,391,8
3432,Won,473,835,8
3433,Won,783,525,8
3434,Lost,429,71,0
3435,Lost,512,89,1
3436,Won,977,331,8
